ID;Hora_de_inicio;Hora_de_finalizacion;Correo_electronico;Usted_nacio_entre;Sexo;Sede__0;Usted_labora_en_la_sucursal_Barranquilla_en;Usted_labora_en_la_sucursal_Bogotá_en;Usted_ingreso_a_trabajar_en_West_Army_Security_Ltda_en_el_ano;Nivel_academico_alcanzado_hasta_ahora;Estado_civil;Tiene_hijos;Es_usted;Cargo_por_favor_escriba_su_respuesta;En_mi_trabajo_me_siento_lleno_de_energia;Mi_trabajo_esta_lleno_de_significado_y_proposito;El_tiempo_vuela_cuando_estoy_trabajando;Soy_fuerte_y_vigoroso_en_mi_trabajo;Estoy_entusiasmado_con_mi_trabajo;Cuando_estoy_trabajando_olvido_todo_lo_que_pasa_alrededor_de_mi;Mi_trabajo_me_inspira;Cuando_me_levanto_por_las_mananas_tengo_ganas_de_ir_a_trabajar;Soy_feliz_cuando_estoy_concentrado_en_mi_trabajo;Estoy_orgulloso_del_trabajo_que_hago;Estoy_inmerso_en_mi_trabajo;Puedo_continuar_trabajando_durante_largos_periodos_de_tiempo;Mi_trabajo_es_retador;Me_dejo_llevar_por_mi_trabajo;Soy_muy_persistente_en_mi_trabajo;Me_es_dificil_desconectarme_de_mi_trabajo;Incluso_cuando_las_cosas_no_van_bien_continuo_trabajando;Poseo_las_herramientas_de_trabajo_necesarias_para_desarrollar_mi_trabajo;El_proceso_para_obtener_nuevas_herramientas_o_remplazar_las_existentes_es_facil_y_rapido;Tengo_puesto_de_trabajo_;Mi_puesto_de_trabajo_esta_en_adecuadas_condiciones;Tengo_claras_las_normas_de_seguridad_y_salud_en_el_trabajo;Hago_pausas_activas_diarias;Dimension_Ciclo_de_vida_del_colaborador_en_la_compania;Recibi_entrenamiento_al_cargo;Recibi_Induccion_de_la_empresa_(sistemas_de_gestion_vision_mision);He_recibido_capacitacion_que_fomente_mi_crecimiento_profesional;He_recibido_capacitacion_que_fomente_mi_crecimiento_personal;Se_con_claridad_que_debo_hacer_y_como_miden_mis_resultados;"Que_tan_importante_es_para_mi_que_la_empresa_mejore_en_la_forma_en_que_se_contrata_capacita_y_despide_el_personal
";Dimension_Salario_economico;Recibo_el_salario_de_forma_puntual_y_completo;Dimension_Expectativas_a_futuro;Dimension_Balance_vida-trabajo;La_compania_fomenta_el_equilibrio_entre_vida_personal_y_vida_familiar_;Dimension_Cultura;Muestro_un_sentimiento_de_orgullo_sobre_el_lugar_donde_trabajo;Recomiendo_a_otras_personas_sobre_las_vacantes_que_existen_en_esta_compania;La_empresa_donde_trabajo_tiene_buena_reputacion_en_el_sector;Que_tan_urgente_es_para_mi_que_la_compania_mejore_la_imagen_que_proyecta_hacia_el_sector_y_sus_colaboradores;Dimension_Mejoramiento_personal;La_empresa_se_preocupa_por_mi_como_persona;La_empresa_se_preocupa_por_mi_como_profesional;Dimension_Liderazgo;Tengo_una_buena_relacion_con_mi_jefe_o_supervisor;Mi_jefe_me_motiva_a_trabajar;Mi_jefe_me_retroalimenta_cuando_hago_las_cosas_bien;Mi_jefe_me_retroalimenta_cuando_hago_las_cosas_mal;Mi_jefe_es_un_lider_para_mi;Que_tan_urgente_es_para_mi_que_mejore_la_relacion_e_interrelacion_con_mi_jefe_inmediato;Recibo_toda_la_informacion_suficiente_para_realizar_bien_mi_trabajo;Las_instrucciones_que_recibo_de_mi_jefe_son_claras;Dimension_Percepcion_del_ambiente_de_trabajo;Percibo_un_buen_ambiente_laboral;Me_siento_conectado_con_mis_companeros_de_trabajo;Me_siento_conectado_con_otras_areas_de_la_compania;Percibo_que_aprovechan_mis_talentos_y_capacidades;Percibo_que_mi_salud_fisica_y_emocional_es_buena;Estoy_estresado_(a);Percibo_que_mi_salud_financiera_es_buena;La_compania_promueve_actividades_de_bienestar;He_participado_en_actividades_de_reconocimientos_a_empleados;De_1_a_5_evalua_el_clima_laboral_de_esta_organizacion_donde_1_mal_clima_y_5_buen_clima_laboral;Dimension_Comunicacion;La_alta_direccion_manifiesta_sus_objetivos_de_tal_forma_que_se_crea_un_sentido_comun_de_mision_identidad_y_proposito_entre_los_colaboradores;Recibo_noticias_de_la_organizacion;La_compania_me_informa_sobre_los_cambios_corporativos
12;5/20/24 12:10:23;5/20/24 12:20:24;anonymous;Generación Z;Masculino;Bogotá;;Bogotá;2024;Bachiller;Unión Libre;1;Operativo;Vigilante ;7;7;7;7;7;6;7;7;7;7;7;6;7;4;7;1;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;4;Si;Si;Si;Si
13;5/20/24 12:13:23;5/20/24 12:20:42;anonymous;Generación Y (milenials);Femenino;Bogotá;;Bogotá;2023;Profesional;Soltero (a);No;Administrativo;TALENTO HUMANO;4;5;7;4;5;1;4;1;3;7;4;3;7;3;3;3;3;No;No;Si;No;Si;Si;Si;No;Si;Si;Si;Si;Muy importante;Si;Si;No;Si;Si;No;Si;No;Si;Muy urgente;No;No;No;Si;No;No;No;No;No;Muy urgente;Si;No;No;No;No;No;No;No;Si;Si;Si;No;3;Si;Si;Si;Si
14;5/20/24 12:14:01;5/20/24 12:21:32;anonymous;Generación Z;Masculino;Bogotá;;Bogotá;2024;Bachiller;Unión Libre;No;Administrativo;Guarda de seguridad.;7;7;6;6;6;7;6;7;7;7;7;7;6;6;6;4;6;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;5;Si;Si;Si;No
15;5/20/24 12:14:35;5/20/24 12:21:54;anonymous;Generación Y (milenials);Masculino;Cúcuta;;;2021;Bachiller;Unión Libre;2;Operativo;Supervisor ;7;7;7;7;7;7;7;7;7;7;7;7;4;7;7;1;5;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;Si
16;5/20/24 12:16:34;5/20/24 12:23:02;anonymous;Generación Y (milenials);Femenino;Bogotá;;Bogotá;2005;Profesional;Casado (a);1;Administrativo;Contadora;7;7;7;6;6;6;6;6;7;7;7;3;7;6;6;6;6;Si;No;Si;Si;Si;No;Si;No;No;Si;Si;Si;Muy importante;No;No;Si;No;No;No;Si;No;Si;Muy urgente;Si;No;Si;Si;Si;Si;No;Si;No;Muy urgente;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;No;5;Si;Si;Si;Si
17;5/20/24 12:14:40;5/20/24 12:23:16;anonymous;Generación Y (milenials);No binario;Cúcuta;;;2023;Bachiller;Unión Libre;2;Operativo;Guarda de seguridad ;7;7;7;7;7;7;7;7;7;7;7;7;7;6;7;6;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;5;Si;Si;Si;Si
18;5/20/24 12:13:04;5/20/24 12:23:23;anonymous;Generación Z;Masculino;Cúcuta;;;2022;Bachiller;Soltero (a);2;Operativo;Guardia de seguridad ;7;5;7;7;7;6;6;7;7;7;1;7;5;6;7;2;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco importante;Si;Si;No;Si;No;No;Si;Si;Si;Poco urgente;No;No;Si;Si;Si;Si;Si;No;Si;Poco urgente;Si;Si;Si;Si;Si;No;Si;Si;No;No;No;No;4;No;Si;No;No
19;5/20/24 12:16:16;5/20/24 12:23:24;anonymous;Generación Z;Femenino;Cúcuta;;;2020;Bachiller;Casado (a);1;Operativo;Guarda de seguridad ;7;7;7;7;7;6;7;7;7;7;7;6;6;7;7;6;7;No;No;Si;No;Si;Si;Si;Si;Si;Si;Si;No;Muy importante;No;Si;Si;Si;Si;No;Si;Si;Si;Muy urgente;Si;No;No;Si;Si;Si;No;No;Si;Muy urgente;Si;Si;No;No;No;Si;Si;Si;No;Si;Si;Si;5;Si;Si;No;No
20;5/20/24 12:14:42;5/20/24 12:24:32;anonymous;Generación Z;Masculino;Bogotá;;Bogotá;2024;Bachiller;Soltero (a);No;Operativo;vigilante ;7;5;6;7;6;7;5;6;7;6;5;4;5;6;7;6;7;No;No;Si;No;Si;Si;Si;No;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;No;Si;No;Si;Si;No;No;No;No;Muy urgente;No;Si;No;No;No;Si;No;No;Si;Si;Si;No;1;Si;No;Si;No
21;5/20/24 12:14:36;5/20/24 12:24:47;anonymous;Generación Y (milenials);Masculino;Cúcuta;;;2023;Bachiller;Soltero (a);1;Operativo;Guarda ;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;Si
22;5/20/24 12:14:43;5/20/24 12:24:53;anonymous;Generación Z;Masculino;Cúcuta;;;2023;Bachiller;Soltero (a);No;Operativo;Guarda de seguridad ;7;7;7;7;7;7;7;7;7;7;1;1;1;7;7;7;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;No;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;5;Si;Si;Si;Si
23;5/20/24 12:17:35;5/20/24 12:25:49;anonymous;Generación Y (milenials);Masculino;Villavicencio;;;2024;Bachiller;Soltero (a);2;Operativo;Guarda de seguridad ;7;7;6;7;7;6;7;6;7;7;6;7;7;6;7;1;7;No;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;No;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;5;Si;Si;Si;Si
24;5/20/24 12:09:24;5/20/24 12:27:42;anonymous;Generación Y (milenials);Masculino;Medellín;;;2021;Tecnico;Casado (a);1;Operativo;Coordinador operativo ;6;5;5;7;7;7;6;7;6;7;6;7;6;6;7;5;7;Si;No;No;No;Si;Si;Si;No;No;No;No;Si;Muy importante;No;Si;No;Si;Si;No;Si;Si;No;Muy urgente;No;No;Si;Si;Si;Si;No;No;No;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;3;Si;Si;No;No
25;5/20/24 12:16:05;5/20/24 12:27:50;anonymous;Generación X;Masculino;Bucaramanga;;;2017;Bachiller;Casado (a);No;Operativo;Guarda de seguridad ;7;7;4;7;7;4;7;7;7;7;7;7;7;5;7;5;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;5;Si;Si;Si;Si
26;5/20/24 12:12:57;5/20/24 12:28:07;anonymous;Generación Y (milenials);Masculino;Bogotá;;Bogotá;2013;Bachiller;Soltero (a);No;Operativo;Manejador canino;7;7;7;7;7;1;7;7;7;7;7;4;6;6;7;4;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;No;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;4;Si;Si;Si;No
27;5/20/24 12:14:44;5/20/24 12:29:25;anonymous;Generación Z;Masculino;Bogotá;;Bogotá;2022;Bachiller;Unión Libre;2;Operativo;vigilancia 1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco importante;Si;Si;Si;Si;Si;Si;Si;Si;No;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;No;Si;No;Si;Si;Si;5;Si;Si;Si;Si
28;5/20/24 12:21:41;5/20/24 12:30:14;anonymous;Generación Z;Masculino;Bucaramanga;;;2022;Bachiller;Unión Libre;No;Operativo;Guarda de seguridad ;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;3;Si;Si;No;No
29;5/20/24 12:20:20;5/20/24 12:30:35;anonymous;Generación Y (milenials);Masculino;Medellín;;;2023;Bachiller;Casado (a);2;Operativo;Vigilante ;7;4;4;6;7;2;7;7;7;7;7;7;6;4;5;4;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;No;Si;Si;No;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;No;Si;No;Si;Si;No;No;Si;No;4;Si;Si;No;No
30;5/20/24 12:13:01;5/20/24 12:30:55;anonymous;Generación Z;Masculino;Cúcuta;;;2023;Bachiller;Soltero (a);1;Operativo;Guarda de seguridad ;7;7;7;7;7;7;7;7;7;7;7;7;1;7;7;1;7;Si;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;Muy importante;No;Si;Si;No;Si;No;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;5;Si;Si;Si;Si
31;5/20/24 12:21:50;5/20/24 12:31:24;anonymous;Generación Y (milenials);Masculino;Villavicencio;;;2023;Bachiller;Unión Libre;2;Operativo;Guarda Motorizado ;7;7;7;7;7;7;7;7;7;7;7;6;7;7;7;6;7;No;No;Si;No;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;No;Si;No;Si;Si;Si;Si;Si;No;Poco urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Poco urgente;Si;Si;Si;Si;Si;No;No;Si;No;Si;Si;No;5;Si;Si;No;No
32;5/20/24 12:16:01;5/20/24 12:32:11;anonymous;Generación Y (milenials);Masculino;Cúcuta;;;2024;Bachiller;Casado (a);2;Operativo;Guarda de seguridad ;7;7;7;7;7;7;7;7;7;7;7;7;6;7;7;3;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;5;Si;Si;Si;Si
33;5/20/24 12:11:18;5/20/24 12:32:24;anonymous;Generación Y (milenials);Femenino;Bogotá;;Bogotá;2013;Bachiller;Unión Libre;3;Operativo;OMT;3;7;3;7;7;7;7;7;7;7;3;3;7;3;7;3;4;Si;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;No;Si;Si;Si;Si;No;Si;Si;Si;Muy urgente;No;Si;Si;Si;Si;No;No;No;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;5;Si;Si;Si;Si
34;5/20/24 12:19:20;5/20/24 12:32:49;anonymous;Generación Z;Masculino;Villavicencio;;;2024;Primaria;Unión Libre;1;Operativo;Guarda de Seguridad ;7;7;6;7;7;1;7;7;7;7;6;7;6;6;7;6;7;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;No;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;No;5;Si;Si;Si;Si
35;5/20/24 12:22:04;5/20/24 12:33:00;anonymous;Generación Y (milenials);Masculino;Medellín;;;2004;Tecnico;Casado (a);2;Operativo;Guarda de seguridad ;6;7;6;6;7;5;6;6;6;6;6;6;6;6;6;6;6;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy importante;Si;No;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;Si;Muy urgente;Si;Si;Si;Si;Si;Si;Si;Si;No;No;Si;No;4;Si;Si;Si;Si
36;5/20/24 12:26:09;5/20/24 12:33:12;anonymous;Generación Z;Femenino;Villavicencio;;;2020;Profesional;Soltero (a);No;Administrativo;Jefe Talento Humano;7;7;7;7;7;6;7;7;7;7;6;6;7;6;7;2;7;Si;No;Si;Si;Si;Si;Si;No;Si;Si;Si;Si;Muy importante;Si;Si;Si;Si;Si;Si;Si;Si;No;Muy urgente;Si;Si;Si;Si;Si;No;No;No;No;Muy urgente;No;No;Si;Si;Si;No;Si;Si;No;Si;Si;Si;4;Si;Si;Si;Si
